Id,Name,Industry,Website / Link URL,Website / Link Label,Website / Secondary Links,Linkedin / Link URL,Linkedin / Link Label,Linkedin / Secondary Links,Instagram / Link URL,Instagram / Link Label,Instagram / Secondary Links,Company Score,City
86edc9b3-c799-45f5-ab46-2526525aeccf,Playside Studios,"[""GAMES""]",http://www.playsidestudios.com,,[],https://www.linkedin.com/company/playside,,[],,,[],,"[""SYDNEY"",""MELBOURNE""]"
cb7ac0df-f43e-400f-8242-63ef79626638,RMS Studio,"[""POST_PRODUCTION"",""FILM""]",https://www.rms.studio,,[],https://www.linkedin.com/company/rms-studio-syd/about,,[],,,[],,"[""SYDNEY"",""MELBOURNE""]"
a9c9dfae-2016-4e4c-9b98-673e7b7e94f1,Aspire Sound Studio,"[""TEACHING"",""MIX_MASTER"",""REHEARSAL""]",https://www.aspiresound.com.au,,[],https://www.linkedin.com/company/aspire-sound-studio,,[],,,[],,[]
0b7369da-6454-4c86-9daf-f6fb35d4727d,Halfbrick,"[""GAMES""]",http://www.halfbrick.com,,[],https://www.linkedin.com/company/halfbrick,,[],,,[],,[]
5dc9dbb7-e2da-4104-8346-6dc08d2db3f1,SPAWN Audio,[],spawn.audio,,[],,,[],,,[],,"[""PERTH""]"
4d1bec88-4a80-4b23-85ed-b1cecd7cb086,SAE Institute Australia,"[""TEACHING""]",https://sae.edu.au,,[],,,[],,,[],,"[""INTERNATIONAL"",""PERTH"",""MELBOURNE"",""SYDNEY""]"
dc1ce905-2b72-4a78-8a63-3c5d6df62343,Sandbox Productions,"[""LOCATION_SOUND"",""FILM"",""POST_PRODUCTION""]",https://thesandbox.com.au,,[],https://www.linkedin.com/company/sandboxproductions/posts/?feedView=all,,[],,,[],,[]
1f70157c-4ea5-4d81-bc49-e1401abfbb94,Stripe,[],https://stripe.com,,[],,,[],,,[],,[]
9d07db5e-7066-4371-bfb9-5df6dbb64bc6,Linear,[],https://linear.app,,[],,,[],,,[],,[]
bb7381c0-42c7-499a-a8d8-4b246b1f729c,Entour,"[""LIVE_SOUND""]",https://www.entourgroup.com,,[],,,[],,,[],,[]
